Filename,comisarias-ba.es.json,,,,
Plugin,Comisarias,,,,
Tags generales,comisaria,,,,
,,,geo,,
,,,,,
token,alias,tags,lat,long,adrress
,,,,,
Comisaria 1,,,,,451 LAVALLE
Comisaria 2,,,,,1050 PERU
Comisaria 3,,,,,1560 TUCUMAN
Comisaria 4,,,,,770 TACUARI
Comisaria 5,,,,,1958 LAVALLE
Comisaria 7,,,,,2625 LAVALLE
Comisaria 9,,,,,471 BILLINGHURST
Comisaria 12,,,,,1454 VALLE
Comisaria 14,,,,,1419 BOLIVAR
Comisaria 15,,,,,1156 SUIPACHA
Comisaria 17,,,,,1861 LAS HERAS GRAL.
Comisaria 24,,,,,456 PINZON
Comisaria 26,,,,,861 MONTES DE OCA MANUEL
Comisaria 28,,,,,170 VELEZ SARSFIELD
Comisaria 30,,,,,768 HORNOS GRAL.
Comisaria 32,,,,,2724 CASEROS
Comisaria 33,,,,,2263 MENDOZA
Comisaria 35,,,,,3145 CUBA
Comisaria 36,,,,,3405 PEDERNERA
Comisaria 40,,,,,3748 REMEDIOS
Comisaria 41,,,,,1800 BUFANO ALFREDO R.
Comisaria 42,,,,,2343 DE LA TORRE LISANDRO
Comisaria 43,,,,,453 CHIVILCOY
Comisaria 47,,,,,4254 NAZCA
Comisaria 48,,,,,4347 LEGUIZAMON MARTINIANO
Comisaria 49,,,,,3045 MACHAIN
Comisaria 45,,,,,4154 CUBAS JOSE
Comisaria 46,,,,,2550 DE LOS INMIGRANTES
Comisaria 19,,,,,2844 CHARCAS
Comisaria 23,,,,,4000 SANTA FE
Comisaria 25,,,,,1350 SCALABRINI ORTIZ RAUL
Comisaria 31,,,,,232 CABILDO
Comisaria 37,,,,,4367 JURAMENTO
Comisaria 21,,,,,2373 ALVAREZ JULIAN
Comisaria 8,,,,,550 URQUIZA GRAL.
Comisaria 6,,,,,1931 VENEZUELA
Comisaria 10,,,,,1250 MUÑIZ
Comisaria 13,,,,,1548 AVELLANEDA
Comisaria 11,,,,,5152 DIAZ VELEZ
Comisaria 22,,,,,640 HUERGO ING.
Comisaria 20,,,,,1345 CATAMARCA
Comisaria 18,,,,,1757 SAN JUAN
Comisaria 16,,,,,1224 SAN JOSE
Comisaria 52,,,,,CAFAYATE & DIAZ ANA
Comisaria 27,,,,,645 CAMARGO
Comisaria 29,,,,,4350 DUMONT SANTOS
Comisaria 34,,,,,456 QUILMES
Comisaria 38,,,,,258 BONORINO ESTEBAN CNEL.
Comisaria 39,,,,,5437 OLAZABAL
Comisaria 44,,,,,726 PORCEL DE PERALTA MANUEL
Comisaria 50,,,,,2738 GAONA
Comisaria 51,,,,,2081 ARTILLEROS
Comisaria 53,,,,,2961 REPUBLICA ARABE-SIRIA
