Filename,disco-ba.es.json,,,,
Plugin,Disco-ba.es.json,,,,
Tags generales,"entretenimiento, disco",,,,
,,,geo,,
,,,,,
token,alias,tags,lat,long,adrress
,,,,,
Disco CASTELBAMBA,CASTELBAMBA,,,,RIOBAMBA  345
Disco GOLDEN,GOLDEN,,,,ESMERALDA  1040
Disco REY CASTRO,REY CASTRO,,,,PERU  342
Disco LA FRANCE,LA FRANCE,,,,SARMIENTO  1656
Disco BAHREIN ,BAHREIN ,,,,LAVALLE  343
Disco BELLA ROMA,BELLA ROMA,,,,ROGELIO YRURTIA 6020
Disco CLUB SHAMPOO,"CLUB SHAMPOO, shampoo",,,,QUINTANA  362
Disco CITY HALL ,CITY HALL ,,,,AV. MOSCONI  2883/5
Disco IVANOFF,IVANOFF,,,,RIVADAVIA  7514/18
Disco MALUCO BELEZA,"MALUCO BELEZA, maluco",,,,SARMIENTO  1728
Disco XEL - HA,"XEL-HA, xel, xel ha",,,,AV SAN MARTIN  6628
Disco CLOCHE,CLOCHE,,,,J.E. URIBURU 1721
Disco SUDACA,SUDACA,,,,SARMIENTO  1752
Disco MOLIERE,MOLIERE,,,,BALCARCE  678/82
Disco AZUCAR ,AZUCAR ,,,,AV. CORRIENTES  3328
Disco WESTERN ,WESTERN ,,,,F. ALCORTA  7536
Disco GONG,GONG,,,,AV. CORDOBA  634
Disco RUMI,RUMI,,,,F. ALCORTA 6438/42
Disco EVELYN,EVELYN,,,,AV. RIVADAVIA  7425
Disco CLUB ONE-STATE-ALSINA,"CLUB ONE-STATE-ALSINA, one state",,,,ALSINA  934/44
Disco NICETO CLUB ,NICETO CLUB ,,,,NICETO VEGA  5508
Disco ASIA DE CUBA,ASIA DE CUBA,,,,OLGA COSENTTINI 751
Disco GLAM ,GLAM ,,,,JOSE A. CABREREA  3046/48
Disco NEW METROPOLIS,"NEW METROPOLIS, metropolis",,,,AV. SANTA FE  4389
Disco TIRO LOCO,TIRO LOCO,,,,VICENTE LOPEZ  2188
Disco PALERMO CLUB ,PALERMO CLUB ,,,,BORGES  2450
Disco TABASCO PUB,"TABASCO PUB, tabasco",,,,JOSE MARTI  17
Disco OPERA BAY,OPERA BAY,,,,CECILIA GRIERSON  225
Disco THE END,THE END,,,,AV. RIVADAVIA  7428
Disco AZUCAR BELGRANO,AZUCAR BELGRANO,,,,AV. CABILDO 2040
Disco VELVET FRERE,"VELVET FRERE, frere",,,,OLLEROS  1775
Disco SAHARA,SAHARA,,,,JUNIN  1735
Disco NEW PORT,NEW PORT,,,,JUNIN  1715/19
Disco LATINO 11,LATINO 11,,,,ECUADOR  60
Disco RETRO,RETRO,,,,RIVADAVIA  7802/12
Disco BRONCO,BRONCO,,,,O┤BRIEN 1160
Disco AMNESIA,AMNESIA,,,,AV. NAZCA  55
Disco CAIX,CAIX,,,,R. OBLIGADO Y SALGUERO sin n║
Disco LE PRIVE,LE PRIVE,,,,AV. SAN MARTIN 6101
Disco MUSEUM,MUSEUM,,,,PERU  529
Disco ANGEL'S DISCO,"ANGEL'S DISCO, angel disco, angels disco",,,,VIAMONTE  2168/70
Disco SODOMA,SODOMA,,,,VICENTE LOPEZ  2233
Disco CLUB ARAOZ,CLUB ARAOZ,,,,ARAOZ  2422
Disco MANDARINE,MANDARINE,,,,R. OBLIGADO Y SARMIENTO sin n║
Disco LA DIOSA-VIDU,"LA DIOSA-VIDU, diosa-vidu, diosa vidu",,,,R. OBLIGADO  3731
