Filename,futbol-ba.es.json,,,
Plugin,Futbol,,,
Tags generales,fútbol,,,
,,,geo,
,,,,
token,alias,tags,lat,long
,,,,
All Boys,,,,
Argentinos Juniors,argentino juniors,,,
Arsenal,,,,
Atlético Rafaela (Raf),"atletico rafaela, rafaela",,,
Belgrano (Cba),,,,
Boca Juniors,boca,boca,,
Colón (SF),colón de santa fe,,,
Estudiantes (LP),estudiantes de la plata,,,
Godoy Cruz (Mza),,,,
Independiente,,,,
Lanús,,,,
Newell's (Ros),"newell, newells ",,,
Quilmes,,,,
Racing Club,,,,
River Plate,river,,,
San Lorenzo,,,,
San Martín (SJ),,,,
Tigre,,,,
Unión (SF),,,,
Vélez Sarsfield,,,,
