Filename,hospitales-ba.es.json,,,,
Plugin,hospitales-ba.es.json,,,,
Tags generales,salud,,,,
,,,geo,,
,,,,,
token,alias,tags,lat,long,adrress
,,,,,
Hospital de Emergencias Psiquiátricas Torcuato de Alvear,"hospital alvear, hospital de emergencias siquiatricas",,,,Warnes 2630
Hospital de Gastroenterología B. Udaondo,"gastroenterologia, hospital de gastroenterologia, udaondo",,,,Caseros 2061
Hospital de Infecciosas F. Muñiz,"hospital muñiz, hospital de infecciosas, hospital de enfermedades infecciosas",,,,Uspallata 2272
Hospital de Odontología José Dueñas,"hospital de odontologia, hospital dueñas, hospital jose dueñas",,,,Muñiz 15
Hospital de Odontología Infantil Don Benito Quinquela Martín,"hospital de odontologia infantil, hospital quinquela",,,,Don Pedro de Mendoza 1795
Hospital de Oftalmología Santa Lucía,"hospital de oftalmologia, hospital santa lucia",,,,San Juan 2021
Hospital de Rehabilitación M. Rocca,"hospital de rehabilitacion, hospital rocca, hospital roca",,,,Segurola 1949
Hospital de Rehabilitación Respiratoria M. Ferrer,"hospital de rehabilitacion respiratoria, hospital de rehabilitacion, hospital ferrer",,,,Doctor Enrique Finochietto 849
Hospital de Salud Mental Braulio Moyano,"hopistal de salud mental, hospital moyano",,,,Brandsen 2570
Hospital de Salud Mental J. T. Borda,"hospital de salud mental, hospital borda, borda",,,,Doctor Ramón Carrillo 375
Hospital General de Agudos A. Zubizarreta,"hospital de agudos, zubizarreta",,,,Nueva York 3952
Hospital General de Agudos B. Rivadavia,"hospital de agudos, hospital rivadavia",,,,Av. General Las Heras 2670
Hospital General de Agudos D. Velez Sarsfield,"hospital de agudos, hospital velez, hospital velez sarsfield",,,,Pedro Calderon de la Barca 1550
Hospital General de Agudos Donación F. Santojanni,"hospital de agudos, hospital santojanni, hospital santojani, santojanni, santojani",,,,Pilar 950
Hospital General de Agudos Dr. C. Argerich,"hospital de agudos, hospital argerich, argerich",,,,Corbeta Pi y Margal 750
Hospital General de Agudos Dr. C. Durand,"hospital de agudos, hospital durand, durand",,,,Diaz Velez 5044
Hospital General de Agudos Dr. E. Tornu,"hospital de agudos, hospital tornu, tornu",,,,Combatientes de Malvinas 3002
Hospital General de Agudos Dr. I. Pirovano,"hospital de agudos, hospital pirovano, pirovano",,,,Monroe 3555
Hospital General de Agudos Dr. J. A. Fernandez,"hospital de agudos, hospital fernandez",,,,Cerviño 3356
Hospital General de Agudos Dr. T. Alvarez,"hospital de agudos, hospital alvarez",,,,Doctor Juan Felipe Aranguren 2701
Hospital General de Agudos J. A. Penna,"hospital de agudos, hospital penna, hospital pena",,,,Pedro Chutro 3380
Hospital General de Agudos J. M. Ramos Mejía,"hospital de agudos, hospital ramos mejia, ramos mejia",,,,General Urquiza 609
Hospital General de Agudos P. Piñero,"hospital de agudos, hospital piñero, piñero",,,,Varela 1301
Hospital General de Niños Pedro de Elizalde,"hospital de niños, hospital infantil, hospital elizalde, hospital pedro de elizalde, elizalde",,,,Manuel A. Montes de Oca 40
Hospital General de Niños Ricardo Gutierrez,"hospital de niños, hospital infantil, hospital ricardo gutierrez, hospital gutierrez, ricardo gutierrez",,,,Gallo 1330
Hospital Infanto Juvenil C. Tobar Garcia,"hospital infanto juvenil, hospital juvenil, tobar garcia",,,,Doctor Ramón Carrillo 315
Hospital Materno Infantil R. Sarda,"hospital materno, hospital materno infantil, hospital infantil, hospital sarda, sarda",,,,Esteban de Luca 2151
Hospital Municipal de Oncología Marie Curie,"hospital de oncologia, oncologia, marie curie, hospital curie, curie",,,,Patricias Argentinas 750
Hospital Municipal de Quemados,hospital del quemado,,,,Pedro Goyena 369
Hospital Odontológico Dr. Ramón Carrillo (ex nacional),"hospital odontologico, hospital ramon carrillo, ramon carillo, hospital carrillo",,,,Sanchez de Bustamante 2529
Hospital Oftalmológico Dr. Pedro Lagleyze,"hospital oftalmologico, hospital pedro lagleyze, lagleyse, lagleise, lagleyce, lagleice",,,,Juan B. Justo 4151
Instituto de Rehabilitación Psicofísica ( I.R.E.P. ),"instituto de rehabilitacion sicofisica, instituto de rehabilitacion, irep, i.r.e.p.",,,,Echeverría 955
Instituto de Zoonosis L. Pasteur,"instituto de zoonosis, instituto pasteur, pasteur",,,,Diaz Velez 4821
