Filename,sitios-ba.es.json,,,,
Plugin,Sitios,,,,
Tags generales,,,,,
,,,geo,,
,,,,,
token,alias,tags,lat,long,address
,,,,,
Bar Homero Manzi,homero manzi,bar,,,san juan y boedo
Bar La Giralda,"la giralda, giralda",bar,,,rivadavia y medrano
Basílica Nuestra Señora del Pilar,"Basílica Nuestra Señora del Pilar, nuestra señora del pilar",turismo,,,
Bosques de Palermo,palermo,,,,
Cabildo,,turismo,-34.608698,-58.373698,
Café Tortoni,"cafe tortoni, tortoni",bar,,,avenida de mayo 825
Caminito,,turismo,,,
Casa de Gobierno,casa rosada,gobierno,,,
Catedral Metropolitana,catedral,"sitio histórico, turismo",,,
Cementerio de Chacarita,chacarita,cementerio,,,
Cementerio de la Recoleta,recoleta,"cementerio, turismo",,,
Centro Cultural Recoleta,recoleta,cultura,,,
Centro de exposiciones de la Rural,la rural,,,,
Confitería el Molino,"el molino, confiteria el molino",bar,,,rivadavia 1801
Congreso de la Nación,"congreso, plaza de los dos congresos",gobierno,,,rivadavia y entre rios
Correo central,,,,,Correo central
Costanera Norte,costanera,,,,
Costanera Sur,costanera,,,,
Edificio Kavanagh,kavanagh,turismo,,,
El Obelisco,obelisco,"monumento, turismo",-34.603722,-58.381581,corrientes y 9 de julio
El Viejo Almacén,"viejo almacén, viejo almacen","bar, turismo",,,balcarce 773
Estadio Boca Juniors,"bombonera, estadio de boca, cancha de boca","fútbol, turismo",,,Brandsen 805
Estadio River Plate,"el monumental, estadio river plate, river, river plate, estadio de river, cancha de river",fútbol,,,Figueroa Alcorta 7597
Feria de San Telmo,feria,"feria, turismo",,,
Hipódromo Argentino de Palermo,hipodromo,,,,Avenida Dorrego y Olleros
Jardín Botánico Carlos Thays,"intendente casares, carlos thays, thays",,,,Santa Fe 3951
Jardín Japonés,jardin japones,"paseo, turismo",-34.574889,-58.409203,Avenida Casares 2966
Jardín Zoológico Eduardo Ladislao,"zoologico, ladislao, eduardo ladislao",,,,
Manzana de las Luces,,turismo,,,Perú 272
Monumento a Lola Mora,lola mora,monumento,,,
Palacio de Tribunales,tribunales,gobierno,,,Talcahuano 550
Palermo Hollywood,hollywood,,,,Palermo Hollywood
Palermo Soho,soho,,,,Palermo Soho
Pirámide de mayo,piramide de mayo,"monumento, turismo",,,
Planetario Galileo Galilei,planetario,,,,
Plaza de la República,plaza de la republica,,,,9 de julio y corrientes
Plaza de Mayo,plaza de mayo,plaza,,,Hipólito Yrigoyen y Defensa
Plaza Miserere,"plaza once, plaza 11","plaza, transporte",,,Rivadavia 2800
Plaza San Martín,,plaza,,,H.Yrigoyen y Colón
Puerto Madero,,turismo,,,Alicia Moreau de Justo y Brasil
