Filename,tags-ba.es.json,,,,
Plugin,Tags,,,,
Tags generales,,,,,
,,,geo,,
,,,,,
token,alias,tags,lat,long,address
,,,,,
bicisendas,"bici, bicis, bicicleta, bicicletas, bicisenda, bicisendas, ciclovia, ciclovias, bicicleteria, ciclista, ciclistas",bicisendas,,,
ecología,"huerta, huertas, basura, bolsas plásticas, reciclaje, reciclar, reciclado, contaminación, reciclados, arbol, arboles, recoleccion, tacho, tachos, solar, verde, humo, basurero, espacios verdes, smog, carton, cartoneros, toxico",ecologia,,,
tecnología,"internet, wifi, cable, digital",tecnologia,,,
tránsito,"camion, camiones, auto, transito, trafico, semaforo, colectivo, colectivos, vehiculo, vehicular, a pie, peaton, educacion vial, estacionamiento, estacionamientos",transito,,,
transporte,"colectivo, colectivos, cnrt, subte, subtes, sube, subterraneo, subterraneos, bondi, bondis",transporte,,,
cultura,"teatro, teatros, cine, cines, festival, musica, video, arte, pintura, danza",cultura,,,
seguridad,"comisaria, comisarias, policia, policias, robo, violencia",seguridad,,,
